股票编号,年份（年末）,总股本,每股资本公积,每股未分配利润,基本每股收益,基本每股收益同比增长(%),每股净资产,每股净资产相对年初增长(%),每股现金流,每股营业收入,营业收入同比增速(%),加权平均净资产收益率,摊薄净资产收益率同比增长(%),净利润同比增长,上市年限,交通运输、仓储和邮政业,住宿和餐饮业,信息传输、软件和信息技术服务业,农、林、牧、渔业,制造业,卫生和社会工作,建筑业,房地产业,批发和零售业,教育,文化、体育和娱乐业,水利、环境和公共设施管理业,电力、热力、燃气及水生产和供应业,科学研究和技术服务业,租赁和商务服务业,综合,采矿业,金融业,是否次新股,股价（年末最后20个交易日收盘价加权平均）,股价年化波动率,本年送转比例,近两年送转比例平均,次年是否送转,次年是否高送转
1,1,595979092.0,0.1306,0.6765,0.4381,51.068999999999996,1.9153,30.5768,-0.1278,2.3998,44.004,25.67,14.2688,48.5989,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.186360409308251,0.5009007927917074,0.0,,0.0,0.0
1,2,595979092.0,0.2015,1.1579,0.6299,43.78,2.5222,31.6869,0.551,3.1231,30.1415,28.43,9.1834,44.1369,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.812830019009758,0.490998148529245,0.0,0.0,1.0,0.0
1,3,595979092.0,0.2015,1.6314,0.5048,-19.8603,3.0249,19.930999999999997,0.3011,2.7169,-13.0055,18.19,-33.1844,-19.7378,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.1599135006310695,0.4238392139264568,0.25,0.125,1.0,0.0
1,4,595979092.0,0.2013,2.0567,0.7005,38.7678,3.4804,15.0583,-0.2822,2.1283,-21.6632,21.82,20.6153,38.7774,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.088110546776747,0.34285660053250416,0.22,0.235,1.0,0.0
1,5,595979092.0,0.2013,2.0695,0.2631,-62.4411,3.5235,1.2384,0.2087,1.8078,-15.0603,7.59,-62.8976,-62.4382,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.94751189804146,0.7544295311946932,0.08,0.15,1.0,0.0
1,6,595979092.0,0.2013,2.4189,0.5954,126.3018,4.0445,14.7864,3.2283,3.4552,91.1239,15.79,97.1331,126.2832,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.746007438609787,0.56101472479073,0.18,0.13,1.0,0.0
1,7,595979092.0,0.1996,3.207,1.0453,75.5626,4.9023,21.209,-0.659,4.8738,41.0589,26.64,44.8338,75.5531,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.956302971141396,0.3901386154276223,0.3,0.24,,
2,7,83117600.0,2.1735,1.8611,0.32,-45.7627,5.2170000000000005,32.2031,1.7427,3.1745,8.3662,10.28,-48.5268,-9.2669,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.24557589691731,0.466681009818623,0.7,0.35,,
3,1,590440000.0,2.207,0.1438,0.004,-95.4023,3.5,26.0807,0.2302,0.5379999999999999,-37.2253,0.25,-93.4591,-89.2743,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0899719726580988,0.34251559538689563,1.0,,1.0,0.0
3,2,1180880000.0,0.6126,0.0753,0.004,0.0,1.76,-49.7143,0.0933,0.4006,48.9381,0.21,2.4319,3.0914,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6002836686660973,0.4739702375670608,0.02,0.51,1.0,0.0
