股票编号,年份（年末）,总股本,每股资本公积,每股未分配利润,基本每股收益,基本每股收益同比增长(%),每股净资产,每股现金流,每股营业收入,摊薄净资产收益率同比增长(%),净利润同比增长,上市年限,交通运输、仓储和邮政业,住宿和餐饮业,信息传输、软件和信息技术服务业,制造业,房地产业,批发和零售业,电力、热力、燃气及水生产和供应业,综合,采矿业,是否有行业龙头概念,股价（年末最后20个交易日收盘价加权平均）,股价年化波动率,本年送转比例,近两年送转比例平均,次年是否高送转
1,2,595979092.0,0.2015,1.1579,0.6299,43.78,2.5222,0.551,3.1231,9.1834,44.1369,21,0,0,0,0,1,0,0,0,0,0,5.812830019009758,0.490998148529245,0.0,0.0,0.0
1,3,595979092.0,0.2015,1.6314,0.5048,-19.8603,3.0249,0.3011,2.7169,-33.1844,-19.7378,22,0,0,0,0,1,0,0,0,0,0,7.1599135006310695,0.4238392139264568,0.25,0.125,0.0
1,4,595979092.0,0.2013,2.0567,0.7005,38.7678,3.4804,-0.2822,2.1283,20.6153,38.7774,23,0,0,0,0,1,0,0,0,0,0,9.088110546776747,0.34285660053250416,0.22,0.235,0.0
1,5,595979092.0,0.2013,2.0695,0.2631,-62.4411,3.5235,0.2087,1.8078,-62.8976,-62.4382,24,0,0,0,0,1,0,0,0,0,0,13.94751189804146,0.7544295311946932,0.08,0.15,0.0
1,6,595979092.0,0.2013,2.4189,0.5954,126.3018,4.0445,3.2283,3.4552,97.1331,126.2832,25,0,0,0,0,1,0,0,0,0,0,17.746007438609787,0.56101472479073,0.18,0.13,0.0
3,2,1180880000.0,0.6126,0.0753,0.004,0.0,1.76,0.0933,0.4006,2.4319,3.0914,12,0,0,0,1,0,0,0,0,0,0,2.6002836686660973,0.4739702375670608,0.02,0.51,0.0
3,3,1180880000.0,0.6257,0.11199999999999999,0.063,1475.0,1.8197,-0.2012,0.6307,1553.9411,1610.9583,13,0,0,0,1,0,0,0,0,0,0,2.0900802858639125,0.27968182861469,0.02,0.02,0.0
3,4,1180880000.0,0.6357,0.09699999999999999,0.005,-92.0635,1.8148,0.0448,0.6546,-91.9126,-91.9312,14,0,0,0,1,0,0,0,0,0,0,3.5909320876201347,0.3377882247104246,0.01,0.015,0.0
3,5,1510550000.0,0.6763,0.0285,-0.04,-900.0,1.7690000000000001,-0.0343,0.3737,-893.5037,-1088.3049,15,0,0,0,1,0,0,0,0,0,0,5.183194642532999,0.7139396201858343,0.0,0.005,0.0
3,6,1510550000.0,0.6763,0.0221,-0.006,85.0,1.7628,0.028999999999999998,0.3725,84.4585,84.4783,16,0,0,0,1,0,0,0,0,0,0,7.418584279276701,0.5020546426423403,0.0,0.0,0.0
4,2,174575386.0,0.7415,0.8953,0.13,44.4444,3.0152,-0.1416,5.2607,35.7371,24.7369,17,0,0,0,0,0,1,0,0,0,0,6.543899944992416,0.37239352565825823,0.04,0.02,0.0
4,3,174575386.0,0.7386,0.9257,0.1,-23.0769,3.0923,0.0793,5.745,-26.6151,-59.4077,18,0,0,0,0,0,1,0,0,0,0,6.538597834562237,0.3845229217853769,0.0,0.02,0.0
